Month,Points,Rank
January 2010,1300,1226
February 2010,1300,1222
March 2010,1300,1223
April 2010,1300,1224
May 2010,1300,1223
June 2010,1300,1224
July 2010,1300,1233
August 2010,1300,1232
September 2010,1300,1231
October 2010,1300,1231
November 2010,1300,1236
December 2010,1300,1237
January 2011,1300,1239
February 2011,1300,1231
March 2011,1300,1228
April 2011,1300,1231
May 2011,1300,1222
June 2011,1300,1226
July 2011,1300,1229
August 2011,1300,1236
September 2011,1300,1243
October 2011,1300,1239
November 2011,1300,1236
December 2011,1300,1226
January 2012,1300,1231
February 2012,1300,1231
March 2012,1300,1229
April 2012,1300,1232
May 2012,1300,1226
June 2012,1300,1230
July 2012,1300,1234
August 2012,1300,1240
September 2012,1300,1238
October 2012,1300,1237
November 2012,1300,1235
December 2012,1300,1237
January 2013,1300,1236
February 2013,1300,1235
March 2013,1297,1475
April 2013,1305,1202
May 2013,1291,1527
June 2013,1311,1167
July 2013,1314,1146
August 2013,1305,1223
September 2013,1312,1159
October 2013,1311,1164
November 2013,1313,1158
December 2013,1313,1153
January 2014,1313,1150
February 2014,1313,1155
March 2014,1333,1036
April 2014,1330,1063
May 2014,1340,996
June 2014,1340,997
July 2014,1346,956
August 2014,1360,820
September 2014,1350,933
October 2014,1356,849
November 2014,1357,839
December 2014,1357,842
January 2015,1357,841
February 2015,1357,841
March 2015,1373,772
April 2015,1381,716
May 2015,1378,733
June 2015,1400,617
July 2015,1421,534
August 2015,1428,503
September 2015,1431,483
October 2015,1438,471
November 2015,1438,475
December 2015,1438,473
January 2016,1438,475
February 2016,1439,469
March 2016,1446,449
April 2016,1481,332
May 2016,1477,342
June 2016,1467,362
July 2016,1463,381
August 2016,1466,352
September 2016,1461,373
October 2016,1469,353
November 2016,1469,357
December 2016,1469,348
January 2017,1469,349
February 2017,1487,311
March 2017,1500,268
April 2017,1506,250
May 2017,1521,235
June 2017,1534,200
July 2017,1523,226
August 2017,1532,199
September 2017,1527,214
October 2017,1512,249
November 2017,1504,262
December 2017,1504,264
January 2018,1504,263
February 2018,1521,230
March 2018,1543,190
April 2018,1529,207
May 2018,1523,231
June 2018,1523,229
July 2018,1530,220
August 2018,1535,208
September 2018,1553,178
Today,1555,176
