Month,Points,Rank
January 2010,1334,1053
February 2010,1334,1050
March 2010,1328,1082
April 2010,1340,1015
May 2010,1361,760
June 2010,1361,762
July 2010,1357,781
August 2010,1357,782
September 2010,1363,757
October 2010,1354,798
November 2010,1350,951
December 2010,1350,956
January 2011,1350,955
February 2011,1350,963
March 2011,1345,982
April 2011,1345,995
May 2011,1337,1030
June 2011,1342,1011
July 2011,1319,1088
August 2011,1299,1521
September 2011,1292,1568
October 2011,1294,1549
November 2011,1300,1507
December 2011,1300,1498
January 2012,1300,1495
February 2012,1300,1495
March 2012,1297,1504
April 2012,1300,1492
May 2012,1301,1219
June 2012,1295,1520
July 2012,1307,1186
August 2012,1317,1113
September 2012,1328,1070
October 2012,1315,1133
November 2012,1322,1098
December 2012,1322,1099
January 2013,1322,1096
February 2013,1322,1092
March 2013,1326,1080
April 2013,1336,1021
May 2013,1338,998
June 2013,1332,1038
July 2013,1339,993
August 2013,1342,984
September 2013,1341,986
October 2013,1345,963
November 2013,1338,991
December 2013,1338,996
January 2014,1338,997
February 2014,1338,997
March 2014,1331,1045
April 2014,1337,1014
May 2014,1332,1049
June 2014,1332,1049
July 2014,1339,1008
August 2014,1330,1066
September 2014,1324,1098
October 2014,1318,1132
November 2014,1319,1133
December 2014,1319,1135
January 2015,1319,1141
February 2015,1319,1140
March 2015,1336,1024
April 2015,1332,1057
May 2015,1315,1177
June 2015,1312,1196
July 2015,1339,1017
August 2015,1330,1066
September 2015,1326,1104
October 2015,1333,1048
November 2015,1333,1043
December 2015,1333,1051
January 2016,1333,1051
February 2016,1333,1050
March 2016,1334,1048
April 2016,1338,1024
May 2016,1349,942
June 2016,1357,858
July 2016,1365,812
August 2016,1375,755
September 2016,1382,713
October 2016,1374,761
November 2016,1374,765
December 2016,1374,760
January 2017,1374,758
February 2017,1374,757
March 2017,1380,720
April 2017,1383,699
May 2017,1376,741
June 2017,1383,701
July 2017,1374,760
August 2017,1349,943
September 2017,1344,981
October 2017,1343,988
November 2017,1351,905
December 2017,1351,912
January 2018,1351,906
February 2018,1357,867
March 2018,1350,924
April 2018,1370,794
May 2018,1364,829
June 2018,1364,829
July 2018,1367,817
August 2018,1348,939
September 2018,1350,928
Today,1355,877
