Month,Points,Rank
January 2010,1300,1226
February 2010,1300,1222
March 2010,1297,1599
April 2010,1299,1589
May 2010,1304,1195
June 2010,1304,1199
July 2010,1291,1636
August 2010,1297,1576
September 2010,1288,1631
October 2010,1301,1220
November 2010,1299,1556
December 2010,1299,1556
January 2011,1299,1560
February 2011,1299,1550
March 2011,1299,1546
April 2011,1290,1599
May 2011,1273,1670
June 2011,1261,1747
July 2011,1267,1709
August 2011,1266,1715
September 2011,1266,1708
October 2011,1276,1644
November 2011,1273,1659
December 2011,1273,1652
January 2012,1273,1646
February 2012,1273,1643
March 2012,1284,1593
April 2012,1277,1623
May 2012,1280,1608
June 2012,1276,1630
July 2012,1279,1607
August 2012,1284,1576
September 2012,1282,1595
October 2012,1288,1546
November 2012,1285,1560
December 2012,1285,1557
January 2013,1285,1555
February 2013,1285,1559
March 2013,1279,1599
April 2013,1286,1554
May 2013,1301,1233
June 2013,1280,1602
July 2013,1272,1660
August 2013,1285,1574
September 2013,1277,1621
October 2013,1294,1497
November 2013,1298,1470
December 2013,1298,1474
January 2014,1298,1473
February 2014,1298,1471
March 2014,1282,1588
April 2014,1282,1586
May 2014,1285,1562
June 2014,1285,1566
July 2014,1269,1685
August 2014,1282,1584
September 2014,1276,1636
October 2014,1287,1549
November 2014,1286,1561
December 2014,1286,1559
January 2015,1286,1562
February 2015,1286,1556
March 2015,1269,1693
April 2015,1254,1843
May 2015,1257,1806
June 2015,1249,2062
July 2015,1242,2163
August 2015,1238,2198
September 2015,1232,2238
October 2015,1218,2339
November 2015,1218,2341
December 2015,1218,2338
January 2016,1218,2334
February 2016,1218,2333
March 2016,1218,2331
April 2016,1218,2322
May 2016,1218,2323
June 2016,1218,2322
July 2016,1218,2324
August 2016,1218,2320
September 2016,1218,2319
October 2016,1218,2313
November 2016,1218,2316
December 2016,1218,2314
January 2017,1218,2314
February 2017,1218,2311
March 2017,1218,2310
April 2017,1218,2307
May 2017,1218,2306
June 2017,1218,2306
July 2017,1218,2306
August 2017,1218,2306
September 2017,1218,2306
October 2017,1218,2302
November 2017,1218,2301
December 2017,1218,2301
January 2018,1218,2301
February 2018,1218,2293
March 2018,1218,2291
April 2018,1218,2282
May 2018,1218,2281
June 2018,1218,2280
July 2018,1218,2279
August 2018,1218,2278
September 2018,1218,2277
Today,1218,2278
